res_county,cases
ALAMEDA,81468
AMADOR,3642
BUTTE,13821
CALAVERAS,2110
COLUSA,1944
CONTRA COSTA,64683
DEL NORTE,1387
EL DORADO,10838
FRESNO,91234
GLENN,2644
HUMBOLDT,4609
IMPERIAL,21486
KERN,85065
KINGS,19710
LAKE,3681
LASSEN,4791
LOS ANGELES,1073531
MADERA,15017
MARIN,9289
MENDOCINO,4021
MERCED,26640
MONTEREY,39866
NAPA,9100
NEVADA,5012
ORANGE,227829
PLACER,24020
RIVERSIDE,266738
SACRAMENTO,101380
SAN BENITO,5558
SAN BERNARDINO,267096
SAN DIEGO,256746
SAN FRANCISCO,32922
SAN JOAQUIN,64573
SAN LUIS OBISPO,20339
SAN MATEO,37801
SANTA BARBARA,29185
SANTA CLARA,109131
SANTA CRUZ,15952
SHASTA,14164
SISKIYOU,2245
SMALL COUNTY,7058
SOLANO,30830
SONOMA,28503
STANISLAUS,52457
SUTTER,9056
TEHAMA,5523
TULARE,48683
TUOLUMNE,4205
VENTURA,77208
YOLO,13117
YUBA,6009
