County Name,August,September,October,November,December,January,February,March,April,May,June,July
Statewide Unallocated,0,0,0,0,0,0,0,0,0,0,0,0
Alameda County ,257,412,463,512,625,974,1241,1212,1263,1253,1257,1265
Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0
Amador County ,14,16,16,16,24,33,41,45,46,46,46,48
Butte County ,23,44,53,60,96,138,160,191,196,189,200,204
Calaveras County ,2,14,21,22,22,23,47,50,50,55,55,57
Colusa County ,6,6,6,6,8,10,13,14,14,14,15,16
Contra Costa County ,175,209,246,261,331,529,681,767,795,805,816,831
Del Norte County ,1,1,1,1,2,3,5,6,6,7,7,7
El Dorado County ,2,4,4,4,22,79,100,105,107,110,113,116
Fresno County ,263,390,443,481,646,1137,1443,1606,1667,1703,1724,1743
Glenn County ,3,3,3,10,14,23,23,17,17,15,19,19
Humboldt County ,4,8,9,9,22,30,33,34,36,41,48,51
Imperial County ,293,320,338,356,414,532,591,704,720,735,737,743
Inyo County ,13,15,15,16,20,29,37,35,36,34,34,38
Kern County ,286,370,424,448,510,624,827,1219,1295,1314,1343,1353
Kings County ,72,104,83,87,110,171,218,238,245,243,244,247
Lake County ,4,10,17,20,23,32,41,43,43,44,56,66
Lassen County ,0,0,1,3,9,16,19,1,1,3,18,19
Los Angeles County ,5784,6576,7071,7655,10056,16647,21328,23101,23899,24357,24497,24689
Madera County ,54,65,76,86,117,175,209,210,235,239,239,244
Marin County ,96,117,127,129,139,172,197,221,228,229,232,239
Mariposa County ,2,2,2,2,4,5,7,5,5,3,3,3
Mendocino County ,17,18,21,23,26,37,43,45,46,47,49,49
Merced County ,117,143,156,181,252,350,397,422,444,451,463,471
Modoc County ,0,0,0,0,1,4,4,3,3,3,3,5
Mono County ,2,2,2,3,4,4,4,3,3,3,3,3
Monterey County ,58,73,96,122,190,285,328,337,379,379,471,525
Napa County ,13,13,16,18,28,54,69,78,81,80,80,81
Nevada County ,5,7,9,9,50,74,74,68,70,72,72,72
Orange County ,980,1268,1483,1577,1874,3018,3904,4713,4934,5051,5124,5144
Placer County ,33,45,59,70,125,199,232,267,286,293,298,306
Plumas County ,0,0,0,0,1,6,6,4,4,4,4,5
Riverside County ,1019,1226,1319,1442,1951,3091,3767,4132,4409,4405,4489,4520
Sacramento County ,293,420,500,581,833,1239,1472,1514,1593,1644,1677,1718
San Benito County ,8,11,15,16,28,52,59,61,63,58,60,60
San Bernardino County ,716,955,1078,1129,1442,1821,2816,4332,4609,4708,4897,5197
San Diego County ,682,783,891,997,1472,2603,3284,3547,3700,3756,3780,3798
City and County of San Francisco,83,104,148,160,184,323,412,474,537,549,558,562
San Joaquin County ,328,456,494,509,628,853,1101,1211,1301,1380,1407,1442
San Luis Obispo County ,20,31,32,38,82,168,227,250,255,254,256,260
San Mateo County ,131,150,161,170,217,382,515,348,358,406,531,540
Santa Barbara County ,93,113,128,136,157,291,411,439,448,454,454,466
Santa Clara County ,244,322,406,476,673,1395,1777,1871,1984,2047,2080,2089
Santa Cruz County ,7,10,26,28,83,148,183,201,205,207,208,207
Shasta County ,12,20,31,47,73,142,174,183,193,199,204,212
Sierra County ,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou County ,0,0,0,3,11,13,14,6,11,21,29,31
Solano County ,47,69,76,81,98,122,164,232,248,250,265,260
Sonoma County ,80,122,136,157,184,260,298,310,318,322,316,329
Stanislaus County ,258,362,401,426,608,828,946,678,774,969,1015,1032
Sutter County ,10,11,12,17,50,86,97,106,110,111,114,127
Tehama County ,1,5,9,25,36,47,52,52,53,63,63,66
Trinity County ,0,0,0,0,4,5,5,3,3,3,3,3
Tulare County ,232,263,293,312,399,588,758,815,832,845,851,854
Tuolumne County ,2,4,6,8,21,49,59,57,58,58,59,59
Ventura County ,116,152,166,183,260,598,844,956,1002,1008,1025,1036
Yolo County ,52,55,60,77,109,149,185,194,205,210,213,215
Yuba County ,6,8,10,10,18,31,37,42,44,47,50,49
