month,fully_vaccinated,partially_vaccinated
December,0,1190
December,0,8767
December,0,26828
December,1,45622
December,1,25677
December,2,19215
December,3,49968
December,9,50369
December,7,50903
December,5,24177
December,0,2363
December,2,14680
December,3,9488
December,6,46348
December,5,51560
December,10,63363
December,21,29692
January,10,5154
January,2,18599
January,12,6242
January,41,43808
January,5749,51248
January,15885,58086
January,31797,61313
January,42301,65916
January,16764,28057
January,11326,13240
January,44321,61079
January,41682,73218
January,34094,86210
January,19847,105511
January,15228,127723
January,7636,73654
January,3836,44601
January,19439,69177
January,31537,111371
January,34233,129881
January,19651,156938
January,14547,156838
January,12629,99670
January,4712,56749
January,35514,110823
January,38256,132431
January,40059,143954
January,34586,155215
January,34944,150238
January,15516,109356
January,5039,64905
February,41545,121618
February,45138,142139
February,54973,157402
February,61353,168104
February,79379,168037
February,35035,121234
February,16594,50709
February,62053,120571
February,85356,127451
February,112674,138125
February,122232,145152
February,126639,148158
February,75681,93252
February,44490,51965
February,64381,79498
February,117615,134447
February,132236,130098
February,142975,133243
February,125159,132403
February,71567,85905
February,42772,44660
February,87477,85902
February,127386,109626
February,156395,139752
February,160881,175102
February,164797,205575
February,114789,149301
February,59358,81937
March,107672,145830
March,122031,180777
March,146073,198842
March,151571,213174
March,134062,216872
March,100347,163285
March,51884,82063
March,78410,147144
March,130694,165716
March,151046,177339
March,185985,195214
March,203616,195880
March,131627,155491
March,78097,78713
March,134294,158539
March,158369,214894
March,148944,239987
March,167068,238747
March,176290,238468
March,111099,187465
March,58571,86779
March,97668,178260
March,141950,219366
March,166547,224340
March,186104,235495
March,205265,234131
March,158153,157541
March,82530,88302
March,141551,173343
March,178196,225038
March,192307,238022
April,224763,271978
April,220352,257938
April,166515,165204
April,74777,57908
April,183005,174688
April,238518,222892
April,245419,231107
April,266392,236893
April,269710,229718
April,215606,156557
April,111093,78038
April,184400,158396
April,192922,243766
April,218643,237573
April,219077,275894
April,225243,255839
April,150091,196604
April,79401,83048
April,171065,151944
April,212079,206519
April,229638,212075
April,254576,204915
April,247276,205164
April,162592,167684
April,70675,81267
April,173300,134164
April,223917,151330
April,212775,149282
April,235113,136970
April,238135,146665
May,160058,91996
May,76509,41252
May,179039,78044
May,236823,99144
May,244818,96047
May,267487,90987
May,258084,96702
May,170344,65034
May,70824,25137
May,156844,51450
May,204447,73126
May,200382,73471
May,199209,120483
May,209171,134129
May,165625,116538
May,83929,57963
May,145498,95658
May,172182,110370
May,163346,113276
May,164274,101634
May,176563,106886
May,117609,87449
May,51750,38714
May,106260,64857
May,117585,71756
May,112566,71603
May,102745,69132
May,107092,81488
May,56879,49975
May,26466,20672
May,13285,6466
June,108453,59505
June,88383,53885
June,118935,51759
June,139512,59457
June,113755,43567
June,47063,16929
June,96256,40160
June,110997,46830
June,109914,42221
June,104150,42539
June,109509,49664
June,82091,32706
June,33524,11079
June,77232,38104
June,87508,44028
June,79172,41730
June,73851,40492
June,82573,46498
June,47939,28648
June,19048,11576
June,34774,36705
June,61336,39283
June,55547,38420
June,54122,37072
June,62119,43202
June,39654,27953
June,18027,13389
June,40282,31438
June,48326,35368
June,43527,35554
July,41381,32603
July,46933,37342
July,25107,21011
July,1887,1515
July,21741,18894
July,53036,33129
July,42784,30406
July,40780,29376
July,46737,35248
July,28801,22467
July,12366,10882
July,37950,27634
July,37970,31290
July,36704,29712
July,35688,31344
July,42281,39475
July,27187,25717
July,12614,12758
July,33623,32985
July,36679,38456
July,35777,37585
July,34098,39404
July,39428,47766
July,23290,30205
July,6396,17853
July,25428,42357
July,33675,46743
July,32184,47309
July,30277,46543
July,36620,54372
July,22172,34108
,9718,18547
,27763,47732
,32190,51430
,30061,48670
,30254,48290
,19929,27779
